Item,Quantity,Unit Price,Price,Unit Mass (g),Mass (g),Vendor,Link,Notes
Sensors,,,,,,,,
SCD-30 - NDIR CO2 Temperature and Humidity Sensor,1,$58.95 ,$58.95 ,10,10,Adafruit,https://www.adafruit.com/product/4867,
Barometer,1,$6.95 ,$6.95 ,2,2,Adafruit,https://www.adafruit.com/product/4494,
GPS,1,$10.99 ,$10.99 ,10,10,Amazon,https://www.amazon.com/Microcontroller-Compatible-Sensitivity-Navigation-Positioning/dp/B07P8YMVNT/ref=sr_1_3?dchild=1&keywords=gps%2Bmodule&qid=1622787288&s=electronics&sr=1-3&th=1,
,,,,,,,,
Compute / Connectivity,,,,,,,,
Raspberry Pi Compute Module 4 - 1GB / No MMC / No WiFi (Lite),1.00,$25.00,$25.00,9.00,9.00,Adafruit,https://www.adafruit.com/product/4782?gclid=Cj0KCQjwg7KJBhDyARIsAHrAXaF3AQoFzTMizV8vAHtt3dzdvDPDTwII61XGL9iVIDtuilUDqVNjDgoaAj6JEALw_wcB,
TP-Link USB WiFi Adapter,1.00,$9.00,$9.00,2.00,2.00,Amazon,https://www.amazon.com/TP-Link-wireless-network-Adapter-SoftAP/dp/B008IFXQFU,
Base Board for Raspberry Pi Compute Module 4,1.00,$26.99,$26.99,38.00,38.00,Amazon,https://www.amazon.com/gp/product/B095CSRWXS/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,
8 GB SD Card,1.00,$9.95,$9.95,0.25,0.25,Adafruit,https://www.adafruit.com/product/1294,

,,,,,,,,
Cables,,,,,,,,
SparkFun Qwiic or Stemma QT SHIM,1,$0.95 ,$1.50 ,1,1,Adafruit,https://www.adafruit.com/product/4463,
2x3 Female Header,1,$0.50 ,$0.50 ,0.25,0.25,Sparkfun,https://www.sparkfun.com/products/13010,
Power Supply,1,$9.99 ,$9.99 ,94,94,Amazon,https://www.amazon.com/gp/product/B07TYQRXTK/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1,
STEMMA QT / Qwiic JST SH 4-pin Cable - 50mm Long,1,$0.95 ,$0.95 ,0.25,0.25,Adafruit,https://www.adafruit.com/product/4399,
STEMMA QT / Qwiic JST SH 4-pin Cable - 100mm Long,1,$0.95 ,$0.95 ,0.25,0.25,Adafruit,https://www.adafruit.com/product/4210,
GPS USB Cable,1,$1.80 ,$1.80 ,2,2,Amazon,https://www.amazon.com/gp/product/B078L2J7Q1/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&th=1#,
,,,,,,,,
Mechanical,,,,,,,,
Enclosure,1,$18.56 ,$18.56 ,220,220,Amazon,https://www.amazon.com/gp/product/B01M64ISDE/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,
Brass Standoffs,11,$0.39 ,$4.29 ,0.5,5.5,Mouser,https://www.mouser.com/ProductDetail/Wurth-Elektronik/971050154?qs=%2Fha2pyFadug7qq2IzcSrT%252BYVQHUMIDTw9stfCXr5XQXy%2Fhi8l70USQ%3D%3D,
M2.5 x 5 Screws,11,$0.04 ,$0.44 ,0.25,2.75,McMaster,https://www.mcmaster.com/92000A103/,
,,,,,,,,
3D Printed Parts,,,,,,,,Quantity shows percentage of a filament roll used for each part
Electronics Bracket,0.1,$5.00 ,$0.50 ,84,8.4,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Frog Eyes,0.02,$22.99 ,$0.46 ,2,0.04,Amazon,https://www.amazon.com/gp/product/B00ZAUQZTA/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Frog Mouth,0.01,$21.99 ,$0.22 ,1,0.01,Amazon,https://www.amazon.com/gp/product/B07VBKP1PN/ref=ppx_yo_dt_b_asin_title_o01_s01?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Frog Head,0.11,$23.99 ,$2.64 ,60,6.6,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
GPS Clip,0.05,$23.99 ,$1.20 ,4,0.2,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
,,,,,,,,
Consumables,,,,,,,,
